Id,Name,Performance (CPU clock * N cores),"Thermal output, W",Tasks assigned,Tasks overall complexity,Neighbors
Количество узлов,Имя узла,Производительность (CPU clock * N cores),"Мощность, Вт",Количество назначенных задач,Общая сложность задач,Список соседей
4,AMD Ryzen 9 3950X,56000,105,69,542,"5, 2, 6"
5,AMD Ryzen 5 5600X,22200,65,29,215,"4, 6, 21"
17,Intel Core i7-9700F,24000,65,38,276,"18, 15, 20, 16, 19"
18,Intel Core i5-11400F,15600,65,34,200,"17, 19, 16"
13,AMD Ryzen 9 3900X,45600,105,44,413,"14, 9, 11"
14,AMD Ryzen 5 5600X,22200,65,36,287,"13, 12, 16"
15,AMD Ryzen 9 3950X,56000,105,55,477,"17, 12, 21"
1,Intel Core i7-9700F,24000,65,69,368,"3, 2, 8"
3,AMD Ryzen 9 3900X,45600,105,48,431,"1, 2, 7"
9,AMD Ryzen 9 3900X,45600,105,51,421,"10, 13, 8"
10,AMD Ryzen 5 3500,21600,65,64,373,"9, 8"
19,AMD Ryzen 9 3950X,56000,105,75,531,"18, 20, 17"
12,AMD Ryzen 9 3950X,56000,105,57,502,"15, 11, 14"
2,AMD Ryzen 5 5600X,22200,65,69,357,"4, 1, 3"
20,Intel Core i7-9700F,24000,65,37,233,"17, 19, 21"
16,AMD Ryzen 5 3500,21600,65,39,255,"18, 17, 14"
6,Intel Core i3-10100F,14400,65,29,183,"5, 7, 4"
7,Intel Core i5-11400F,15600,65,22,198,"6, 11, 3"
21,AMD Ryzen 9 3900X,45600,105,37,326,"5, 20, 15"
8,AMD Ryzen 9 3900X,45600,105,55,427,"1, 10, 9"
11,AMD Ryzen 9 3900X,45600,105,43,408,"12, 13, 7"
